Mutant, System, Mutation Operator, Human-Fail, Branch-Fail, Default-Fail, Human-Error, Branch-Error, Default-Error,result
org.apache.commons.compress.archivers.ar.ArArchiveEntry_EAM_1,commonsCompress,EAM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveEntry_EAM_2,commonsCompress,EAM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveEntry_PRV_1,commonsCompress,PRV,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveEntry_PRV_2,commonsCompress,PRV,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveInputStream_EAM_3,commonsCompress,EAM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.ar.ArArchiveInputStream_IOD_1,commonsCompress,IOD,0,0,1,1,0,0,only-multiobjective
org.apache.commons.compress.archivers.ar.ArArchiveInputStream_JSI_2,commonsCompress,JSI,0,1,0,1,0,0,only-branch
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_EAM_13,commonsCompress,EAM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_EAM_5,commonsCompress,EAM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_EAM_6,commonsCompress,EAM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_IOD_2,commonsCompress,IOD,1,1,1,0,0,1,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_JSI_3,commonsCompress,JSI,1,0,0,1,1,1,only-human
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_JSI_6,commonsCompress,JSI,1,0,0,1,1,1,only-human
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_JTD_1,commonsCompress,JTD,0,1,1,1,1,1,branch-and-multiobjective
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_JTI_1,commonsCompress,JTI,0,1,1,1,1,1,branch-and-multiobjective
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_OAN_1,commonsCompress,OAN,1,0,1,1,0,0,human-and-multiobjective
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_OAN_2,commonsCompress,OAN,1,1,1,1,0,0,all-detect
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream_OAN_3,commonsCompress,OAN,1,1,1,1,0,0,all-detect
